0,410,820,1040,1210,1390,1790,2000,2200,2390,2440,2500,Zouying,
410,0,620,830,1000,1180,1580,1790,1990,2180,2230,2290,Tainan,
820,620,0,430,580,770,1160,1390,1580,1780,1820,1880,Chiayi,
1040,830,430,0,370,550,950,1160,1370,1550,1600,1660,Yunlin,
1210,1000,580,370,0,400,790,1010,1210,1390,1430,1510,Changhua,
1390,1180,770,550,400,0,610,820,1010,1210,1250,1330,Taichung,
1790,1580,1160,950,790,610,0,410,620,800,850,920,Miaoli,
2000,1790,1390,1160,1010,820,410,0,400,590,640,700,Hsinchu,
2200,1990,1580,1370,1210,1010,620,400,0,400,440,500,Taoyuan,
2390,2180,1780,1550,1390,1210,800,590,400,0,260,310,Banqiao,
2440,2230,1820,1600,1430,1250,850,640,440,260,0,260,Taipei,
2500,2290,1880,1660,1510,1330,920,700,500,310,260,0,Nangang,
Zouying,Tainan,Chiayi,Yunlin,Changhua,Taichung,Miaoli,Hsinchu,Taoyuan,Banqiao,Taipei,Nangang,
